name,street_address,city,state,postal_code,latitude,longitude,phone,website,rating_value,review_count,services,google_place_id,description,source_url,canonical_url
24 Hour Fitness,8810 Apollo Way,Downey,California,90242,33.920778,-118.1330018,(562) 382-6230,https://www.24hourfitness.com/gyms/downey-ca/downey-super-sport?Adb_id=GGL_LOC_ACQ_CDP,3.6,654,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJ5R7Ffm3NwoARwipnf-vM-Mo,"Traditional Sauna available in Downey, California. Day Pass available.",https://plungesaunafinder.com/california/downey/24-hour-fitness-8810,https://plungesaunafinder.com/california/downey/24-hour-fitness-8810
City Sports Club,5001 Lone Tree Wy,Antioch,California,94531,37.9627987,-121.7580229,(925) 732-9488,https://citysportsfitness.com/Pages/clubhome.aspx?clubid=1189&utm_source=google&utm_medium=googlemaps&utm_campaign=maps,4.1,250,"Hot Tub, Infrared Sauna, Traditional Sauna",ChIJo5h6XY_4j4ARRKMgdMATnYY,"Traditional Sauna available in Antioch, California. Day Pass available.",https://plungesaunafinder.com/california/antioch/city-sports-club,https://plungesaunafinder.com/california/antioch/city-sports-club
Onix Fitness,5010 2nd St,Long Beach,California,90803,33.7606978,-118.1364727,(562) 438-6649,https://www.onixfitness.com/,5,36,"Infrared Sauna, Cold Plunge, Red Light Therapy, Massage",ChIJc--Kx98x3YARV5Re2aCWSqc,"Infrared Sauna available in Long Beach, California. Membership available.",https://plungesaunafinder.com/california/long-beach/onix-fitness,https://plungesaunafinder.com/california/long-beach/onix-fitness
24 Hour Fitness,3030 N Bellflower Blvd,Long Beach,California,90808,33.8112966,-118.1248293,(562) 420-1444,https://www.24hourfitness.com/gyms/long-beach-ca/long-beach-super-sport?Adb_id=GGL_LOC_ACQ_CDP,4,564,"Hot Tub, Infrared Sauna, Steam Room, Traditional Sauna",ChIJIWtWOx0y3YAR_-q5BzNa8BU,"Traditional Sauna available in Long Beach, California. Membership available.",https://plungesaunafinder.com/california/long-beach/24-hour-fitness-south-of-conant,https://plungesaunafinder.com/california/long-beach/24-hour-fitness-south-of-conant
24 Hour Fitness,125 N First Ave,Arcadia,California,91006,34.1419223,-118.0287283,(626) 446-3000,https://www.24hourfitness.com/gyms/arcadia-ca/arcadia-sport?Adb_id=GGL_LOC_ACQ_CDP,4,625,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJXdIciufbwoARKqL8I-LTTlo,"Traditional Sauna available in Arcadia, California. Day Pass available.",https://plungesaunafinder.com/california/arcadia/24-hour-fitness-125,https://plungesaunafinder.com/california/arcadia/24-hour-fitness-125
Imperfect Mastery Cold Plunge + Sauna,216 The Promenade N ste 300,Long Beach,California,90802,33.7697536,-118.1906597,,https://www.imperfectmastery.co/,5,5,"Cold Plunge, Infrared Sauna",ChIJjeFmPU0x3YARm_fP97_T_jg,"Cold Plunge available in Long Beach, California. Membership available.",https://plungesaunafinder.com/california/long-beach/imperfect-mastery-cold-plunge-sauna,https://plungesaunafinder.com/california/long-beach/imperfect-mastery-cold-plunge-sauna
24 Hour Fitness,12354 Limonite Ave,Eastvale,California,91752,33.9735542,-117.5529956,(951) 360-1696,https://www.24hourfitness.com/gyms/eastvale-ca/eastvale-super-sport?Adb_id=GGL_LOC_ACQ_CDP,3.8,567,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJzedwwQC03IARl54IuyQ8ydA,"Traditional Sauna available in Eastvale, California. Day Pass available.",https://plungesaunafinder.com/california/eastvale/24-hour-fitness-12354,https://plungesaunafinder.com/california/eastvale/24-hour-fitness-12354
24 Hour Fitness,2520 Somersville Rd,Antioch,California,94509,38.00117,-121.84176,(925) 753-1553,https://www.24hourfitness.com/gyms/antioch-ca/antioch-somersville-super-sport?Adb_id=GGL_LOC_ACQ_CDP,4,267,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJaUZIcLtZhYARsSx4c0zniGw,"Traditional Sauna available in Antioch, California. Day Pass available.",https://plungesaunafinder.com/california/antioch/24-hour-fitness-2520,https://plungesaunafinder.com/california/antioch/24-hour-fitness-2520
Lakeridge Athletic Club,6350 San Pablo Dam Rd,El Sobrante,California,94803,37.9486823,-122.2699694,(510) 222-2500,https://www.lakeridgeathletic.com/,4.5,128,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJ-ctknIt5hYARwGkYCOVIqCo,"Traditional Sauna available in El Sobrante, California. Membership available.",https://plungesaunafinder.com/california/el-sobrante/lakeridge-athletic-club,https://plungesaunafinder.com/california/el-sobrante/lakeridge-athletic-club
Pause South Bay,820 Pacific Coast Hwy Suite 110,El Segundo,California,90245,33.9034627,-118.3954585,(310) 388-9538,https://pausestudio.com/southbay,4.9,130,"Infrared Sauna, Cold Plunge, Cryotherapy, Float, Massage",ChIJc9HdUp2zwoARbFxTWEXhXWQ,"Infrared Sauna available in El Segundo, California. Day Pass available.",https://plungesaunafinder.com/california/el-segundo/pause-south-bay,https://plungesaunafinder.com/california/el-segundo/pause-south-bay
Radiance Infrared Sauna and Salt Lounge,4512 Atlantic Ave,Long Beach,California,90807,33.8401704,-118.1843747,(562) 286-1180,https://radianceinfrared.com/,5,58,"Infrared Sauna, Halotherapy",ChIJs-PwzyMz3YAR7VWJWthgphg,"Infrared Sauna available in Long Beach, California. Membership available.",https://plungesaunafinder.com/california/long-beach/radiance-infrared-sauna-and-salt-lounge,https://plungesaunafinder.com/california/long-beach/radiance-infrared-sauna-and-salt-lounge
Perspire Sauna Studio,4201 McGowen St Suite 210,Long Beach,California,90808,33.8305976,-118.1440402,(562) 837-0789,https://www.perspiresaunastudio.com/ca/long-beach-exchange/,4.9,53,"Cold Plunge, Halotherapy, Infrared Sauna, Red Light Therapy",ChIJJ13Kx-gz3YAR7Yd2ozCwD2c,"Red Light Therapy available in Long Beach, California. Day Pass available.",https://plungesaunafinder.com/california/long-beach/perspire-sauna-studio-4201,https://plungesaunafinder.com/california/long-beach/perspire-sauna-studio-4201
24 Hour Fitness,10636 San Pablo Ave,El Cerrito,California,94530,37.9123715,-122.3075438,(510) 900-6279,https://www.24hourfitness.com/gyms/el-cerrito-ca/el-cerrito-super-sport?Adb_id=GGL_LOC_ACQ_CDP,3.9,477,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJ7TZXwLl5hYARhp4xyjp-lKI,"Traditional Sauna available in El Cerrito, California. Day Pass available.",https://plungesaunafinder.com/california/el-cerrito/24-hour-fitness-10636,https://plungesaunafinder.com/california/el-cerrito/24-hour-fitness-10636
4:13 Fitness Center - Valley Plaza,1531 Main St,El Centro,California,92243,32.7921356,-115.5707043,(442) 231-8389,https://www.413gym.com/,4.9,115,"Cold Plunge, Infrared Sauna, Traditional Sauna",ChIJgS-RGSNh14AR6fMDzJcncCk,"Traditional Sauna available in El Centro, California. Membership available.",https://plungesaunafinder.com/california/el-centro/4-13-fitness-center-valley-plaza,https://plungesaunafinder.com/california/el-centro/4-13-fitness-center-valley-plaza
24 Hour Fitness,198 W Main St,El Cajon,California,92020,32.7963173,-116.9642133,(619) 442-0293,https://www.24hourfitness.com/gyms/el-cajon-ca/el-cajon-main-st-super-sport?Adb_id=GGL_LOC_ACQ_CDP,3.5,630,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJnTqyjC1Y2YARB1c1ybQMX1k,"Traditional Sauna available in El Cajon, California. Day Pass available.",https://plungesaunafinder.com/california/el-cajon/24-hour-fitness-198,https://plungesaunafinder.com/california/el-cajon/24-hour-fitness-198
24 Hour Fitness,7905 Walerga Rd,Antelope,California,95843,38.712466,-121.3659583,(916) 723-2432,https://www.24hourfitness.com/gyms/antelope-ca/antelope-marketplace-sport?Adb_id=GGL_LOC_ACQ_CDP,3.2,371,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJOelY90Unm4ARNcUDhJ70x0Y,"Traditional Sauna available in Antelope, California. Day Pass available.",https://plungesaunafinder.com/california/antelope/24-hour-fitness-7905,https://plungesaunafinder.com/california/antelope/24-hour-fitness-7905
24 Hour Fitness,18825 Bear Valley Rd,Apple Valley,California,92308,34.4674934,-117.2515284,(760) 810-4067,https://www.24hourfitness.com/gyms/apple-valley-ca/apple-valley-super-sport?Adb_id=GGL_LOC_ACQ_CDP,3.9,432,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJN5vAoNlgw4ARf543wrWQMlY,"Traditional Sauna available in Apple Valley, California. Day Pass available.",https://plungesaunafinder.com/california/apple-valley/24-hour-fitness-18825,https://plungesaunafinder.com/california/apple-valley/24-hour-fitness-18825
Hidden Sanctuary by Human Aeon,121 Belmont Ave,Long Beach,California,90803,33.7617983,-118.1451135,(562) 476-9989,https://www.humanaeon.com/,5,26,"Cold Plunge, Hot Tub, Infrared Sauna, Traditional Sauna, Massage, Float, Jacuzzi",ChIJd2LJlGEx3YARaJVIksHy8lg,"Cold Plunge available in Long Beach, California. Day Pass available.",https://plungesaunafinder.com/california/long-beach/hidden-sanctuary-by-human-aeon,https://plungesaunafinder.com/california/long-beach/hidden-sanctuary-by-human-aeon
Cellevate,6445 E Pacific Coast Hwy,Long Beach,California,90803,33.7573147,-118.109194,,https://www.cellevate.us/,5,25,"Infrared Sauna, Cold Plunge, Jacuzzi",ChIJSTjhTl0v3YARs27tEumiS80,"Infrared Sauna available in Long Beach, California. Membership available.",https://plungesaunafinder.com/california/long-beach/cellevate,https://plungesaunafinder.com/california/long-beach/cellevate
"HOTWORX - Elk Grove, CA - Laguna Blvd",5110 Laguna Blvd Suite 121,Elk Grove,California,95758,38.4221281,-121.444859,(916) 864-9679,https://www.hotworx.net/studio/elkgrove-lagunablvd,4,24,Infrared Sauna,ChIJ6VO09DbHmoARIOPdSwpKbbw,"Infrared Sauna available in Elk Grove, California. Membership available.",https://plungesaunafinder.com/california/elk-grove/hotworx-elk-grove-ca-laguna-blvd,https://plungesaunafinder.com/california/elk-grove/hotworx-elk-grove-ca-laguna-blvd
SweatHouz Long Beach Contrast Therapy Studio,6480 E Pacific Coast Hwy Suite 152,Long Beach,California,90803,33.7554778,-118.1099574,(562) 837-0072,https://sweathouz.com/long-beach-book-now/,4.8,32,"Cold Plunge, Infrared Sauna, Traditional Sauna",ChIJXVasKTYv3YARwvfDvlpAyn8,"Traditional Sauna available in Long Beach, California. Day Pass available.",https://plungesaunafinder.com/california/long-beach/sweathouz-long-beach-contrast-therapy-studio,https://plungesaunafinder.com/california/long-beach/sweathouz-long-beach-contrast-therapy-studio
Cafe Mokka,495 J St,Arcata,California,95521,40.866247,-124.0903,(707) 822-2228,http://cafemokkaarcata.com/,4.7,651,"Hot Tub, Infrared Sauna, Traditional Sauna",ChIJH84tPARX0VQRmIoFd-KbFkk,"Traditional Sauna available in Arcata, California. Private Session available.",https://plungesaunafinder.com/california/arcata/cafe-mokka,https://plungesaunafinder.com/california/arcata/cafe-mokka
Finnish Country Sauna & Tubs,495 J St,Arcata,California,95521,40.866247,-124.0903,(707) 822-2228,http://www.cafemokkaarcata.com/,4.8,523,"Hot Tub, Infrared Sauna, Traditional Sauna",ChIJH84tPARX0VQRfxq_z0Zuq-M,"Traditional Sauna available in Arcata, California. Private Session available.",https://plungesaunafinder.com/california/arcata/finnish-country-sauna-tubs,https://plungesaunafinder.com/california/arcata/finnish-country-sauna-tubs
Westside Sweat Club,4300 Pacific Coast Hwy,Long Beach,California,90804,33.7889186,-118.1421415,(949) 799-7913,https://www.westsidesweatclub.com/,5,11,"Cold Plunge, Float, Infrared Sauna, Traditional Sauna",ChIJQdaF-0O7woARsetJPSHCcnQ,"Traditional Sauna available in Long Beach, California. Private Session available.",https://plungesaunafinder.com/california/long-beach/westside-sweat-club,https://plungesaunafinder.com/california/long-beach/westside-sweat-club
24 Hour Fitness,4951 Katella Ave,Los Alamitos,California,90720,33.803932,-118.045666,(714) 826-7172,https://www.24hourfitness.com/gyms/los-alamitos-ca/cypress-sport?Adb_id=GGL_LOC_ACQ_CDP,3.8,522,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJnRKHp-4u3YARi-xUQMpnuiw,"Traditional Sauna available in Los Alamitos, California. Day Pass available.",https://plungesaunafinder.com/california/los-alamitos/24-hour-fitness-4951,https://plungesaunafinder.com/california/los-alamitos/24-hour-fitness-4951
Total Sculpting,7811 Laguna Blvd #180,Elk Grove,California,95758,38.4231549,-121.4114401,(279) 333-7258,http://www.totalsculpting.com/,5,63,"Infrared Sauna, Cold Plunge, Cryotherapy, Red Light Therapy",ChIJpeVgJn_HmoAR6g0aqamYfVQ,"Infrared Sauna available in Elk Grove, California. Membership available.",https://plungesaunafinder.com/california/elk-grove/total-sculpting,https://plungesaunafinder.com/california/elk-grove/total-sculpting
Sauna Surround You,13013 West End Rd,Arcata,California,95521,40.876658,-124.011819,(707) 722-7324,http://saunasurroundyou.com/,,,"Infrared Sauna, Traditional Sauna",,"Traditional Sauna available in Arcata, California. Private Session available.",https://plungesaunafinder.com/california/arcata/sauna-surround-you,https://plungesaunafinder.com/california/arcata/sauna-surround-you
Transformation by Cryotherapy,9589 2nd Ave # E1,Elk Grove,California,95624,38.4097242,-121.3655284,(916) 201-4513,https://transformationbycryotherapy.com/,4.6,41,"Cryotherapy, Infrared Sauna",ChIJdSZ_v2zHmoARRUf2Phkzz6A,"Cryotherapy available in Elk Grove, California. Private Session available.",https://plungesaunafinder.com/california/elk-grove/transformation-by-cryotherapy,https://plungesaunafinder.com/california/elk-grove/transformation-by-cryotherapy
Surfside Sauna,Nobi Point,Avila Beach,California,93424,35.1756583,-120.7531132,,https://surfsidesauna.com/,5,22,"Cold Plunge, Infrared Sauna, Traditional Sauna",ChIJ4fBQrqL57IARYMcc2OKSmY4,"Traditional Sauna available in Avila Beach, California. Day Pass available.",https://plungesaunafinder.com/california/avila-beach/surfside-sauna,https://plungesaunafinder.com/california/avila-beach/surfside-sauna
24 Hour Fitness,230 E Via Rancho Pkwy Suite 2001,Escondido,California,92025,33.0718277,-117.06595,(760) 705-9857,https://www.24hourfitness.com/gyms/escondido-ca/escondido-north-county-mall-super-sport?Adb_id=GGL_LOC_ACQ_CDP,3.9,229,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJ6f1ax-Lz24ARpDlmHI3hwKQ,"Traditional Sauna available in Escondido, California. Day Pass available.",https://plungesaunafinder.com/california/escondido/24-hour-fitness-kit-carson,https://plungesaunafinder.com/california/escondido/24-hour-fitness-kit-carson
The Longevity Collective,771 Center Blvd,Fairfax,California,94930,37.9859809,-122.5843497,(415) 300-5268,https://www.marintlc.com/?utm_source=gmb_auth,5,9,"Red Light Therapy, Cold Plunge, Infrared Sauna, PEMF Therapy",ChIJtfKUB7OXhYARtM9PwX89yZE,"Red Light Therapy available in Fairfax, California. Private Session available.",https://plungesaunafinder.com/california/fairfax/the-longevity-collective,https://plungesaunafinder.com/california/fairfax/the-longevity-collective
Blu Life Wellness Studio,330 W Felicita Ave B-6,Escondido,California,92025,33.1046707,-117.0739378,(760) 975-3502,https://www.blulifewellness.com/,5,57,"Infrared Sauna, Cold Plunge",ChIJcSWA413z24AR5U5o3aO4G1E,"Infrared Sauna available in Escondido, California. Private Session available.",https://plungesaunafinder.com/california/escondido/blu-life-wellness-studio,https://plungesaunafinder.com/california/escondido/blu-life-wellness-studio
Living Water Rejuvenation Center,159 E 3rd Ave,Escondido,California,92025,33.1202365,-117.0788324,(760) 737-3500,http://www.livingwatercolonicinstitute.com/,4.8,11,Infrared Sauna,ChIJLfC7rmLz24ARF77bEXEnmXc,"Infrared Sauna available in Escondido, California. Membership available.",https://plungesaunafinder.com/california/escondido/living-water-rejuvenation-center,https://plungesaunafinder.com/california/escondido/living-water-rejuvenation-center
Capitol Floats Auburn,660 Auburn Folsom Rd Suite 102,Auburn,California,95603,38.8782501,-121.0807113,(530) 537-2271,https://www.capitolfloats.com/auburn,5,273,"Float, Infrared Sauna, Massage",ChIJJ4YdCFAbm4ARxbCDjyuTZSc,"Float available in Auburn, California. Membership available.",https://plungesaunafinder.com/california/auburn/capitol-floats-auburn,https://plungesaunafinder.com/california/auburn/capitol-floats-auburn
REJUV Aesthetics & Wellness,463 Encinitas Blvd,Encinitas,California,92024,33.0463241,-117.2828518,(760) 230-6499,https://www.rejuvcryo.com/,4.9,388,"Infrared Sauna, Cryotherapy, Red Light Therapy, Massage, Lymphatic Drainage",ChIJ0yCSkQMN3IAROHxRk6lQhDM,"Infrared Sauna available in Encinitas, California. Day Pass available.",https://plungesaunafinder.com/california/encinitas/rejuv-aesthetics-wellness-463,https://plungesaunafinder.com/california/encinitas/rejuv-aesthetics-wellness-463
Club Paradise Fitness,1371 S Mission Rd,Fallbrook,California,92028,33.3682741,-117.2509548,(760) 731-0133,http://www.clubparadisefitness.com/,3.9,46,"Infrared Sauna, Steam Room, Traditional Sauna",ChIJAw3H2bB-3IART2vGnHccq68,"Traditional Sauna available in Fallbrook, California. Day Pass available.",https://plungesaunafinder.com/california/fallbrook/club-paradise-fitness,https://plungesaunafinder.com/california/fallbrook/club-paradise-fitness
EZ Tan,10820 Rosedale Hwy,Bakersfield,California,93312,35.3843524,-119.1223901,(661) 589-6826,https://www.ez-tan.com/,5,103,"Infrared Sauna, Red Light Therapy",ChIJVVsy6p1D6oARxUC6WoGAz2k,"Infrared Sauna available in Bakersfield, California. Day Pass available.",https://plungesaunafinder.com/california/bakersfield/ez-tan,https://plungesaunafinder.com/california/bakersfield/ez-tan
Chuze Fitness,5200 Stockdale Hwy,Bakersfield,California,93309,35.3556336,-119.0594424,(661) 302-4985,https://chuzefitness.com/gym-locations/ca/stockdale-plaza/,4.1,355,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJ_3SjOf5B6oART_PJPEKJNVs,"Traditional Sauna available in Bakersfield, California. Day Pass available.",https://plungesaunafinder.com/california/bakersfield/chuze-fitness-west-park-community,https://plungesaunafinder.com/california/bakersfield/chuze-fitness-west-park-community
CryoFloat360,1100 Calloway Dr Ste 200,Bakersfield,California,93312,35.367522,-119.1103036,(661) 829-7000,http://www.cryofloat360.com/,4.1,28,"Cryotherapy, Float, Hot Tub, Infrared Sauna, Massage, Red Light Therapy, Traditional Sauna",ChIJq6oarMBD6oAR2J__qWfaCTI,"Cryotherapy available in Bakersfield, California. Day Pass available.",https://plungesaunafinder.com/california/bakersfield/cryofloat360,https://plungesaunafinder.com/california/bakersfield/cryofloat360
24 Hour Fitness,1006 Riley St,Folsom,California,95630,38.669849,-121.170234,(916) 984-1924,https://www.24hourfitness.com/gyms/folsom-ca/folsom-super-sport?Adb_id=GGL_LOC_ACQ_CDP,4.1,427,"Hot Tub, Infrared Sauna, Massage, Steam Room, Traditional Sauna",ChIJ133xbB3kmoARCCs8AzBQIno,"Traditional Sauna available in Folsom, California. Day Pass available.",https://plungesaunafinder.com/california/folsom/24-hour-fitness-1006,https://plungesaunafinder.com/california/folsom/24-hour-fitness-1006
